Owner Name,Card Name,Set Name,Quantity,Purchase Price
Devin,Embalmed Ascendant,Aetherdrift,3,0.07
Devin,Head of the Homestead,Bloomburrow,2,0.03
Devin,Fiendish Panda,Foundations,2,0.07
Devin,Tyrant's Scorn,Breaking News,2,0.06
Devin,Basalt Monolith,Double Masters,1,4.19
Devin,Crawlspace,Dominaria Remastered,1,3.83
Devin,Pit Automaton,Aetherdrift,1,0.07
Devin,Rover Blades,Aetherdrift,1,0.17
Devin,Marshals' Pathcruiser,Aetherdrift,1,0.03
Devin,Basilisk Collar,Commander Legends: Battle for Baldur's Gate,1,2.65
Devin,Mirror of Life Trapping,Commander Legends: Battle for Baldur's Gate,1,0.11
Devin,Cloak of the Bat,Commander Legends: Battle for Baldur's Gate,1,0.08
Devin,Fire Diamond,Commander Legends: Battle for Baldur's Gate,1,0.1
Devin,Starting Column,Aetherdrift,1,0.08
Devin,Skybox Ferry,Aetherdrift,1,0.01
Devin,Arcane Signet,Commander Legends: Battle for Baldur's Gate,1,0.86
Devin,Simic Signet,Duskmourn: House of Horror Commander,1,0.16
Devin,Maskwood Nexus,Aetherdrift Commander,1,1.06
Devin,God-Pharaoh's Gift,Aetherdrift Commander,1,0.11
Devin,Gate to the Afterlife,Aetherdrift Commander,1,0.09
Devin,Leyline Axe,Foundations,1,5.37
Devin,Camera Launcher,Aetherdrift,1,0.06
Devin,Killer's Mask,Duskmourn: House of Horror,3,0.03
Devin,Giggling Skitterspike,Duskmourn: House of Horror Commander,1,8.52
Devin,Angel's Tomb,Innistrad Remastered,1,0.08
Devin,Mobile Homestead,Outlaws of Thunder Junction,1,0.06
Devin,Talisman of Impulse,Bloomburrow Commander,1,0.54
Devin,Banner of Kinship,Foundations,1,8.42
Devin,Adventuring Gear,Foundations,1,0.05
Devin,Suspicious Bookcase,Commander Masters,1,0.08
Devin,Boros Signet,Commander Masters,1,0.79
Devin,Selesnya Signet,Ravnica: Clue Edition,1,0.58
Devin,Friendly Teddy,Duskmourn: House of Horror,1,0.03
Devin,Stonecoil Serpent,Commander Masters,1,1.2
Devin,Luxurious Locomotive,Outlaws of Thunder Junction,1,0.1
Devin,Sterling Hound,Outlaws of Thunder Junction,1,0.06
Devin,Unlicensed Hearse,Breaking News,1,0.84
Devin,Mobile Homestead,Outlaws of Thunder Junction,1,0.13
Devin,Bandit's Haul,Outlaws of Thunder Junction,1,0.09
Devin,Hoverstone Pilgrim,The Lost Caverns of Ixalan,1,0.05
Devin,Sorcerous Spyglass,The Lost Caverns of Ixalan,1,0.02
Devin,Progenitor's Icon,The Lost Caverns of Ixalan Commander,1,0.26
Devin,Lifecrafter's Bestiary,Murders at Karlov Manor Commander,1,0.19
Devin,Gruul Signet,Bloomburrow Commander,1,0.22
Devin,Conductive Machete,Duskmourn: House of Horror,1,0.04
Devin,Attack-in-the-Box,Duskmourn: House of Horror,1,0.05
Devin,Saw,Duskmourn: House of Horror,1,0.03
Devin,Barkform Harvester,Bloomburrow,1,0.06
Devin,Boom Box,Outlaws of Thunder Junction,1,0.05
Devin,Short Bow,Bloomburrow,1,0.13
Devin,Keys to the House,Duskmourn: House of Horror,1,0.04
Devin,Ghost Vacuum,Duskmourn: House of Horror,1,5.46
Devin,Quick-Draw Katana,Foundations,1,0.04
Devin,Leyline Axe,Foundations,1,3.45
Devin,Swiftfoot Boots,Foundations,1,1.38
Devin,Campus Guide,Foundations,3,0.01
Devin,Friendly Teddy,Duskmourn: House of Horror,3,0.03
Devin,Gleaming Barrier,Foundations,3,0.03
Devin,Burnished Hart,Foundations,2,0.06
Devin,Bear Trap,Duskmourn: House of Horror,4,0.03
Devin,Lavaspur Boots,Outlaws of Thunder Junction,2,1.42
Devin,Silver Deputy,Outlaws of Thunder Junction,2,0.03
Devin,Haunted Screen,Duskmourn: House of Horror,2,0.07
Devin,Aetherjacket,Aetherdrift,2,0.03
Devin,Glimmerlight,Duskmourn: House of Horror,4,0.02
Devin,Camera Launcher,Aetherdrift,3,0.03
Devin,Malevolent Chandelier,Duskmourn: House of Horror,5,0.01
Devin,Racers' Scoreboard,Aetherdrift,2,0.1
Devin,Found Footage,Duskmourn: House of Horror,4,0.03
Devin,Hellish Sideswipe,Aetherdrift,1,0.08
Devin,Discourtesy Clerk,Unfinity,1,0.09
Devin,Disemvowel,Unfinity,1,0.02
Devin,Deadbeat Attendant,Unfinity,1,0.07
Devin,Vicious Battlerager,Commander Legends: Battle for Baldur's Gate,1,0.18
Devin,"Safana, Calimport Cutthroat",Commander Legends: Battle for Baldur's Gate,1,0.07
Devin,Agent of the Iron Throne,Commander Legends: Battle for Baldur's Gate,1,0.22
Devin,Nefarious Imp,Commander Legends: Battle for Baldur's Gate,1,0.01
Devin,Stirge,Commander Legends: Battle for Baldur's Gate,1,0.03
Devin,Wreckage Wickerfolk,Aetherdrift,1,0.07
Devin,"Liliana, Death's Majesty",Aetherdrift Commander,1,0.26
Devin,Dreadhorde Invasion,Aetherdrift Commander,1,0.21
Devin,Crowded Crypt,Aetherdrift Commander,1,0.81
Devin,Never // Return,Aetherdrift Commander,1,0.13
Devin,Corpse Augur,Aetherdrift Commander,1,0.16
Devin,Fleshbag Marauder,Aetherdrift Commander,1,0.13
Devin,Twisted Abomination,Aetherdrift Commander,1,0.15
Devin,Pactdoll Terror,Aetherdrift,1,0.12
Devin,Engine Rat,Aetherdrift,1,0.05
Devin,Ancient Vendetta,Aetherdrift,1,0.05
Devin,Syphon Fuel,Aetherdrift,1,0.02
Devin,Risky Shortcut,Aetherdrift,1,0.15
Devin,Ripclaw Wrangler,Aetherdrift,2,0.04
Devin,Seeker's Folly,Foundations,1,0.06
Devin,Hungry Ghoul,Foundations,1,0.04
Devin,Pilfer,Foundations,1,0.09
Devin,Sanguine Syphoner,Foundations,1,0.14
Devin,Stab,Foundations,1,0.09
Devin,"Mari, the Killing Quill",Outlaws of Thunder Junction Commander,1,2.57
Devin,Graveyard Shift,Streets of New Capenna,1,0.02
Devin,Girder Goons,Streets of New Capenna,1,0.02
Devin,Join the Maestros,Streets of New Capenna,1,0.03
Devin,Maestros Initiate,Streets of New Capenna,1,0.01
Devin,Extinguish the Light,Dominaria United,1,0.03
Devin,Bone Splinters,Dominaria United,1,0.03
Devin,Covert Cutpurse // Covetous Geist,Innistrad: Midnight Hunt,1,0.04
Devin,Daggerfang Duo,Bloomburrow,1,0.05
Devin,Moonstone Harbinger,Bloomburrow,1,0.07
